person_type,name,surname,pesel,height,weight,email,employment_start_date,position,salary,school_name,year_of_study,field_of_study,scholarship,pension,years_worked
STUDENT,name,surname,64051388390,10,10,email1@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,38432589529,10,10,email2@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,80463262262,10,10,email3@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,40559476728,10,10,email4@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,23684964220,10,10,email5@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,74867438988,10,10,email6@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,87325965339,10,10,email7@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,66226244344,10,10,email8@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,85729073659,10,10,email9@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,64551485504,10,10,email10@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,49692531444,10,10,email11@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,14923207119,10,10,email12@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,20444407842,10,10,email13@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,38922826129,10,10,email14@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,91512446389,10,10,email15@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,35859469860,10,10,email16@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,50380098431,10,10,email17@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,97993763102,10,10,email18@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,85832789759,10,10,email19@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,14385868948,10,10,email20@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,52524398515,10,10,email21@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,42996523713,10,10,email22@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,83821167531,10,10,email23@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,17784160880,10,10,email24@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,95926125879,10,10,email25@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,52797850571,10,10,email26@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,77707275760,10,10,email27@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,46647120362,10,10,email28@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,48762551516,10,10,email29@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,77143202796,10,10,email30@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,35660353083,10,10,email31@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,31461887602,10,10,email32@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,91114852526,10,10,email33@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,40899533041,10,10,email34@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,59258880719,10,10,email35@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,64651545675,10,10,email36@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,74270522951,10,10,email37@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,86958226538,10,10,email38@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,15733171373,10,10,email39@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,50660290310,10,10,email40@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,59529463806,10,10,email41@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,89541547341,10,10,email42@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,67584881398,10,10,email43@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,99391389934,10,10,email44@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,95180556158,10,10,email45@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,74188757374,10,10,email46@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,29321232804,10,10,email47@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,72222145149,10,10,email48@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,53960748918,10,10,email49@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,42342998831,10,10,email50@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,85008961897,10,10,email51@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,70395369232,10,10,email52@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,50960312640,10,10,email53@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,70780084126,10,10,email54@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,65367897385,10,10,email55@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,95265272834,10,10,email56@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,79305564476,10,10,email57@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,79253231277,10,10,email58@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,70500568067,10,10,email59@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,73273809021,10,10,email60@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,81839543141,10,10,email61@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,66695314797,10,10,email62@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,29087669276,10,10,email63@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,47697927063,10,10,email64@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,78764845993,10,10,email65@test.com,null,null,null,school,2,field,100,null,null
