person_type,name,surname,pesel,height,weight,email,employment_start_date,position,salary,school_name,year_of_study,field_of_study,scholarship,pension,years_worked
STUDENT,name,surname,10986115520,10,10,email15001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,16767704779,10,10,email25001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,23435968085,10,10,email35001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,51091850241,10,10,email45001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,76457854745,10,10,email55001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,71064896837,10,10,email65001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,29107946812,10,10,email75001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,68630967234,10,10,email85001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,96608636580,10,10,email95001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,78234541672,10,10,email105001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,22102215068,10,10,email115001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,56804931447,10,10,email125001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,19673042931,10,10,email135001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,17241865539,10,10,email145001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,68205166752,10,10,email155001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,23802009468,10,10,email165001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,99628437433,10,10,email175001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,25692582136,10,10,email185001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,56171185607,10,10,email195001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,42083417603,10,10,email205001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,32020058735,10,10,email215001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,69785247007,10,10,email225001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,32802821585,10,10,email235001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,18779302119,10,10,email245001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,62769601406,10,10,email255001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,35630434844,10,10,email265001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,35412925141,10,10,email275001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,77911311606,10,10,email285001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,21582750805,10,10,email295001@test.com,null,null,null,school,2,field,100,null,null
STUDENT,name,surname,14107556462,10,10,email305001@test.com,null,null,null,school,2,field,100,null,null
